Unnamed: 0,state,trump_votes,harris_votes,total_votes,estimated_votes,last_updated,trump_share,harris_share,State,Pre-Election Classification,inputstate,harris_poll_all,trump_poll_all,num_respondents_all,f,sigma,bias_correction_term,trump_poll_corrected,harris_poll_corrected
0,Kansas,758802,544853,1327591,1266682.5392,2024-12-19T15:23:44.873000Z,0.5715630792917397,0.4104072715166041,Kansas,Red,20,0.4899777282850779,0.3652561247216035,449,0.00035446924237510636,0.4815019086929562,-0.11506527046496189,0.4803213951865654,0.5196786048134345
1,Utah,883818,562566,1487951,1380288.8134,2024-12-05T19:39:17.391000Z,0.5939832696103567,0.3780809986350357,Utah,Red,49,0.4225352112676056,0.4107981220657277,426,0.00030863106030009355,0.49197868345386586,-0.126000409217725,0.5367985312834527,0.4632014687165473
2,Oregon,919480,1240600,2229467,2188219.506,2024-12-18T17:58:30.217000Z,0.4124214442285981,0.5564558703941346,Oregon,Blue,41,0.5679012345679012,0.3063973063973064,891,0.0004071803571611156,0.46099674297090376,-0.10278471244451416,0.40918201884182054,0.5908179811581795
3,Oklahoma,1036213,499599,1566173,1555925.4261,2024-12-05T19:39:12.923000Z,0.6616210342024795,0.3189934956099997,Oklahoma,Red,40,0.3571428571428571,0.4955357142857143,672,0.000431897306083878,0.4999800697558466,-0.10823834756228837,0.6037740618480026,0.39622593815199736
4,New Mexico,423391,478802,923403,850568.7161999999,2024-12-05T19:39:11.854000Z,0.4585116141056505,0.5185189998299767,New Mexico,Likely Blue,35,0.5077881619937694,0.35202492211838,321,0.0003773945524755476,0.4776016921305121,-0.11061106947004032,0.4626359915884203,0.5373640084115797
5,Louisiana,1208505,766870,2006975,2017816.2496,2024-12-05T19:39:03.682000Z,0.6021524931800346,0.3821024178178602,Louisiana,Red,22,0.416260162601626,0.4357723577235772,615,0.00030478493773747437,0.495857650911642,-0.127792859717035,0.5635652174406122,0.43643478255938783
6,Washington,1530923,2245849,3898835,3706323.9265000005,2024-12-05T19:39:20.864000Z,0.3926616540581994,0.5760307886843121,Washington,Blue,53,0.5437392795883362,0.3216123499142367,1166,0.0003145974348499784,0.4670951148287459,-0.11848733340912358,0.4400996833233603,0.5599003166766396
7,New York,3579519,4619543,8199062,7983335.526,2025-03-04T15:16:15.149000Z,0.4365766474262543,0.5634233525737457,New York,Blue,36,0.5429017160686428,0.3188767550702028,3205,0.0004014612676070055,0.46604116786620975,-0.10464723941920613,0.4235239944894089,0.5764760055105911
8,Mississippi,747744,466668,1228008,1200379.4811,2024-12-05T19:39:08.922000Z,0.6089080852893467,0.3800203256004847,Mississippi,Red,28,0.4168421052631579,0.431578947368421,475,0.0003957081968484841,0.49529643604288803,-0.11202223921977567,0.5436011865881967,0.45639881341180333
9,Wyoming,192633,69527,266353,266479.8051,2024-12-05T19:39:22.066000Z,0.7232244427507856,0.2610332904078422,Wyoming,Red,56,0.2272727272727272,0.6477272727272727,88,0.00033023140334021507,0.47767839902235687,-0.11826798856669973,0.7659952612939724,0.23400473870602756
10,Vermont,119395,235791,366389,340699.91549999994,2024-12-05T19:39:18.753000Z,0.3258694993572405,0.6435537093089585,Vermont,Blue,50,0.5058823529411764,0.2941176470588235,85,0.00024948641350631625,0.4556450995538137,-0.1297960827419522,0.4239137298007757,0.5760862701992243
11,Delaware,214351,289758,511697,498907.438,2025-02-11T15:58:24.967000Z,0.4189022018890085,0.5662687098028716,Delaware,Blue,10,0.5198019801980198,0.3118811881188119,202,0.00040488472332617337,0.4632616027866006,-0.103582213254056,0.41546340137286786,0.5845365986271321
12,Montana,352079,231906,602963,578468.4088,2024-12-05T19:39:09.822000Z,0.583914767572803,0.3846106643359542,Montana,Red,30,0.3757225433526011,0.4739884393063583,173,0.00029906559695952754,0.4993229403004443,-0.1299109784083707,0.603899417714729,0.396100582285271
13,Kentucky,1337494,704043,2073309,2004211.868,2024-12-30T20:15:27.288000Z,0.64510114025454,0.3395745641387752,Kentucky,Red,21,0.424170616113744,0.4644549763033175,844,0.0004211131634711984,0.49873495094128134,-0.10934311616610448,0.5737980924694219,0.4262019075305781
14,Virginia,2075085,2335395,4482576,4224563.3925,2024-12-05T19:39:17.699000Z,0.4629224356709178,0.520993955261439,Virginia,Likely Blue,51,0.4749362786745964,0.3891248937977909,1177,0.0002786086728132817,0.4875517519450103,-0.13142422111761892,0.5205491149154098,0.4794508850845902
15,Texas,6393597,4835250,11380105,10346459.8416,2025-03-21T20:31:59.529000Z,0.5618223206200645,0.4248862378686313,Texas,Red,48,0.4412600663192799,0.4156797726196115,4222,0.00040806228068702386,0.4928388167083834,-0.10976542568704968,0.5254451983066611,0.47455480169333886
16,Massachusetts,1251298,2126486,3453369,3517511.7588,2025-02-12T21:00:15.336000Z,0.3623412383675188,0.615771439426253,Massachusetts,Blue,25,0.5703380588876772,0.3075245365321701,917,0.0002606956459223991,0.46146852109634096,-0.12859707465857356,0.43612161119074366,0.5638783888092563
17,Illinois,2449079,3062863,5592368,5675765.2952,2024-12-30T08:49:43.924000Z,0.437932374979615,0.5476862395321624,Illinois,Blue,17,0.5087809917355371,0.334194214876033,1936,0.0003410993759092324,0.4717080046166536,-0.11491354327000301,0.44910775814603604,0.5508922418539639
18,Arizona,1770242,1582860,3389319,3016693.448,2024-12-05T19:38:57.520000Z,0.5223002024890546,0.4670141701031977,Arizona,Swing,4,0.4225473321858864,0.4750430292598967,1162,0.00038518995053023365,0.49937676118485697,-0.11447738730248452,0.5895204165623813,0.4104795834376187
19,Pennsylvania,3543308,3423042,7034206,6359766.133499999,2025-01-24T21:54:20.700000Z,0.5037253671558666,0.4866280572391539,Pennsylvania,Swing,42,0.4422692768677587,0.4490611266480224,2503,0.000393567931187827,0.49739846318784614,-0.11280325247442227,0.5618643791224447,0.4381356208775553
20,Colorado,1377441,1728159,3190873,3190128.1451,2024-12-06T21:14:43.777000Z,0.4316815492186621,0.54159441632431,Colorado,Blue,8,0.5236447520184544,0.3517877739331027,867,0.00027177591637868906,0.4775281520960779,-0.13033077746016533,0.482118551393268,0.517881448606732
21,Iowa,927019,707278,1656849,1636232.9076000003,2024-12-05T19:39:01.301000Z,0.5595072333085273,0.4268813875012147,Iowa,Red,19,0.4852941176470588,0.4044117647058823,544,0.0003324710054865785,0.49077784105780126,-0.12110117696425521,0.5255129416701375,0.4744870583298625
22,New Jersey,1968215,2220713,4272725,4266920.339799999,2024-12-06T19:09:58.271000Z,0.4606463088544196,0.5197416168838388,New Jersey,Blue,34,0.474302496328928,0.4008810572687225,1362,0.00031919977209226273,0.49007696864047157,-0.12341734407431028,0.5242984013430327,0.47570159865696726
23,South Dakota,272081,146859,428922,411220.071,2024-12-05T19:39:14.677000Z,0.6343367791812964,0.3423909242239847,South Dakota,Red,46,0.3893129770992366,0.5343511450381679,131,0.0003185642171634176,0.49881860313601656,-0.12574405845111564,0.6600952034892835,0.3399047965107165
24,Missouri,1751986,1200599,2993596,2902710.0300000003,2024-12-12T15:57:58.757000Z,0.5852446355486846,0.4010557870868347,Missouri,Red,29,0.442798353909465,0.4567901234567901,1215,0.0004185743623864489,0.49812940745264234,-0.10954119432050496,0.5663313177772951,0.43366868222270494
25,Wisconsin,1697626,1668229,3415213,3135788.9408,2025-01-17T15:32:00.741000Z,0.4970776346892566,0.4884699724438856,Wisconsin,Swing,55,0.4856081708449396,0.3881151346332405,1077,0.00034345423762009844,0.4873210203775967,-0.1183092295378979,0.5064243641711383,0.49357563582886166
26,Georgia,2663117,2548017,5250047,4644603.589500001,2024-12-05T19:39:00.323000Z,0.5072558398048627,0.4853322265495909,Georgia,Swing,13,0.4919154228855721,0.3694029850746269,1608,0.00034620823263263763,0.4826431597905246,-0.1167064295501403,0.4861094146247672,0.5138905853752328
27,Indiana,1720347,1163673,2933770,2929871.9855,2025-02-21T18:41:13.317000Z,0.5863946389798791,0.3966476581327098,Indiana,Red,18,0.4063079777365491,0.461038961038961,1078,0.00036793416413244173,0.49847972621068193,-0.11692167949904317,0.5779606405380042,0.4220393594619958
28,Nebraska,564816,369995,947159,910545.9957,2024-12-05T19:39:10.493000Z,0.5963264879497528,0.3906366301750815,Nebraska,Red,31,0.4561403508771929,0.4210526315789473,285,0.0003129990152566655,0.4937279747182557,-0.1255627404594369,0.5466153720383842,0.4533846279616158
29,Alabama,1462616,772412,2256352,2277194.8016,2025-01-09T21:04:19.526000Z,0.64822155408376,0.3423277928266511,Alabama,Red,1,0.3741496598639456,0.4863945578231292,882,0.0003873186428233062,0.4998148576654878,-0.1142624030806635,0.6006569609037927,0.3993430390962073
30,Connecticut,736918,992053,1758429,1726235.1752,2024-12-16T20:14:15.565000Z,0.4190774833672556,0.5641700631643359,Connecticut,Blue,9,0.5317164179104478,0.3246268656716418,536,0.0003105023044950405,0.468235265391072,-0.11955748877818252,0.4441843544498243,0.5558156455501757
31,North Dakota,246505,112327,365059,364901.119,2024-12-05T19:39:10.227000Z,0.6752470148660902,0.3076954684037374,North Dakota,Red,38,0.4444444444444444,0.4141414141414141,99,0.00027130637546770583,0.49257314506006494,-0.13455329058705817,0.5486947047284723,0.45130529527152774
32,Hawaii,193661,313044,516701,448655.99239999993,2024-12-05T19:39:01.242000Z,0.3748028356825321,0.6058513531036325,Hawaii,Blue,15,0.5686274509803921,0.2679738562091503,153,0.00034101851438906585,0.4429039044731351,-0.10790932594768177,0.3758831821568321,0.624116817843168
33,California,6081697,9276179,15862536,15165819.911200002,2024-12-16T17:03:45.700000Z,0.3834000439778355,0.584785371015076,California,Blue,6,0.5491945477075588,0.3006195786864932,4035,0.0002660588101155112,0.4585274774720143,-0.12648274315634903,0.42710232184284225,0.5728976781571578
34,Minnesota,1519032,1656979,3240916,3200213.5803,2024-12-05T19:39:07.973000Z,0.4687045267449079,0.5112687277300615,Minnesota,Likely Blue,27,0.5168961201501877,0.3629536921151439,799,0.0002496708360087325,0.4808516501948696,-0.13692586549351987,0.49987955760866376,0.5001204423913362
35,Tennessee,1966865,1056265,3063942,2772949.4519999996,2024-12-05T19:39:15.077000Z,0.6419393709149847,0.3447405336001791,Tennessee,Red,47,0.3724624889673433,0.5180935569285083,1133,0.00040859021039233866,0.49967251595187306,-0.11121548370414451,0.6293090406326528,0.3706909593673472
36,New Hampshire,395523,418488,822116,809288.4439999999,2024-12-17T16:21:16.334000Z,0.481103639875638,0.5090376540536858,New Hampshire,Likely Blue,33,0.5441696113074205,0.3498233215547703,283,0.0003496899061121402,0.4769140019449608,-0.11474534903569711,0.4645686705904674,0.5354313294095325
37,Michigan,2816636,2736533,5662504,5010798.437000001,2024-12-05T19:39:07.149000Z,0.4974188097703772,0.4832725945977256,Michigan,Swing,26,0.4829931972789115,0.4020408163265306,1470,0.00029336642023862746,0.49031010425446825,-0.12879957892452581,0.5308403952510564,0.4691596047489436
38,Nevada,751205,705197,1484840,1305829.7175,2024-12-05T19:39:12.168000Z,0.505916462379785,0.4749313057299102,Nevada,Swing,32,0.5135593220338983,0.3576271186440678,590,0.00045182001304852365,0.4793015362529205,-0.10144729448168444,0.45907441312575226,0.5409255868742477
39,North Carolina,2898423,2715375,5679647,5268293.4304,2024-12-13T21:47:21.773000Z,0.5103174545882869,0.4780886910753432,North Carolina,Swing,37,0.4873129472999349,0.3806115810019518,1537,0.0002917453289771109,0.4855372338030797,-0.12789976215233334,0.5085113431542851,0.49148865684571486
40,Maine,377977,435652,831375,826510.3812000001,2024-12-30T21:16:30.530000Z,0.4546408058938505,0.52401383250639,Maine,Likely Blue,23,0.46875,0.4330357142857143,224,0.00027101897942863974,0.4954954938632394,-0.1354233370419726,0.5684590513276869,0.4315409486723131
41,Idaho,605246,274972,904812,878728.1328,2024-12-05T19:39:02.216000Z,0.6689190682705357,0.3038995946119194,Idaho,Red,16,0.2560975609756097,0.6382113821138211,246,0.000279950067395862,0.4805180681870218,-0.1292174448725555,0.7674288269863766,0.2325711730136234
42,West Virginia,533556,214309,762390,714509.181,2024-12-18T17:10:55.307000Z,0.6998465352378703,0.2811015359592859,West Virginia,Red,54,0.3200992555831266,0.5583126550868487,403,0.0005640235433167933,0.49658799246127794,-0.09406706653823818,0.6523797216250868,0.34762027837491316
43,Ohio,3180116,2533699,5765017,5728436.6172,2024-12-05T19:39:12.312000Z,0.5516230047543659,0.4394954949829289,Ohio,Red,39,0.4747959673547767,0.3912626020163226,2083,0.00036362451733264504,0.4880329684352681,-0.1151479264329932,0.5064105284493158,0.4935894715506842
44,Florida,6110126,4683038,10893548,10840406.8764,2025-02-21T21:56:08.064000Z,0.5608940264457457,0.4298909776686163,Florida,Red,12,0.450183460344341,0.4264747389218176,3543,0.00032683275087333236,0.4945644912277722,-0.12308402175651255,0.5495587606783301,0.4504412393216699
45,South Carolina,1483747,1028452,2548140,2366337.0089999996,2024-12-05T19:39:14.240000Z,0.5822862951015251,0.4036089068889464,South Carolina,Red,45,0.4268156424581005,0.4525139664804469,895,0.00037822169733051753,0.4977399688799161,-0.11514886594126256,0.5676628324217095,0.43233716757829055
46,Arkansas,759241,396905,1182676,1181969.9543,2024-12-05T19:38:56.858000Z,0.6419687217800987,0.3355990989924544,Arkansas,Red,5,0.3780487804878049,0.4634146341463415,492,0.0004162542357444085,0.4986597146405091,-0.10996312103566565,0.5733777551820072,0.4266222448179928
47,Maryland,1035550,1902577,3015650,2966080.4552,2024-12-06T19:05:09.395000Z,0.3433919718800258,0.6309011324258452,Maryland,Blue,24,0.5702764976958525,0.2903225806451613,868,0.000292642095556869,0.4539112025635577,-0.11938546637716763,0.40970804702232894,0.5902919529776711
48,Alaska,184458,140026,338177,329107.1472,2024-12-05T19:38:56.358000Z,0.5454480937497228,0.4140612756041954,Alaska,Red,2,0.452991452991453,0.452991452991453,117,0.0003555073203223342,0.4977852915747363,-0.11878267153919447,0.5717741245306475,0.42822587546935253
49,Rhode Island,214406,285156,510659,494467.8788,2024-12-05T19:39:13.865000Z,0.4198613947859531,0.5584078612146266,Rhode Island,Blue,44,0.4719101123595505,0.3370786516853932,178,0.0003599829384913324,0.4727119992800591,-0.11209596965533247,0.44917462134072567,0.5508253786592743
